Original Text,Original Label,Original Prediction,Original Prob,Adversarial Text,Adversarial Prediction,Adversarial Prob,Changed
Ok . . now i am in bus. . If i come soon i will come otherwise tomorrow,Ham,Ham,0,Ok . . now i am in bun. . If i come soon i will come otherwise tomorrow,Ham,0,No
UR awarded a City Break and could WIN a Â£200 Summer Shopping spree every WK. Txt STORE to 88039 . SkilGme. TsCs087147403231Winawk!Age16 Â£1.50perWKsub,Spam,Spam,1,UR awarded a City Break and could WIN a Â£200 Suumer Shopping spree every WK. Txt STORE to 88039 . SkilGme. TsCs087147403231Winawk!Age16 Â£1.50perWKsub,Spam,1,No
But I'm on a diet. And I ate 1 too many slices of pizza yesterday. Ugh I'm ALWAYS on a diet.,Ham,Ham,0,But I'm on a diet. And I ate 1 too many slices of pizza yesterday. Ugh I'm ALWAYS on a diet.,Ham,0,No
"449050000301 You have won a Â£2,000 price! To claim, call 09050000301.",Spam,Spam,1,"449050000301 You have won a Â£2,000 price! To claim, call 09050000301.",Spam,1,No
Hey do you want anything to buy:),Ham,Ham,0,Hey do you want anything to buy:),Ham,0,No
You intrepid duo you! Have a great time and see you both soon. ,Ham,Ham,0,You intrepid duo you! Hase a great time and see you both soon.,Ham,0,No
"The guy at the car shop who was flirting with me got my phone number from the paperwork and called and texted me. I'm nervous because of course now he may have my address. Should i call his boss and tell him, knowing this may get him fired?",Ham,Ham,0,"The guy at the car shop who was flirting with me got my phone number from the paperwork and called and texted me. I'm nervous bexause of course now he may have my address. Should i call his boss and tell him, knowing this may get him fired?",Ham,0,No
Its a valentine game. . . Send dis msg to all ur friends. .. If 5 answers r d same then someone really loves u. Ques- which colour suits me the best?rply me,Ham,Ham,0,Its a valentine game. . . Send dis msg to all ur friends. .. If 5 answers r d same then someone really loves u. Ques- which colour suits me the best?rply me,Ham,0,No
Get down in gandhipuram and walk to cross cut road. Right side &lt;#&gt; street road and turn at first right.,Ham,Ham,0,Get down in gandhipuram and walk to cross cut road. Right side &lt;#&gt; street road and turn at first right.,Ham,0,No
But I'm on a diet. And I ate 1 too many slices of pizza yesterday. Ugh I'm ALWAYS on a diet.,Ham,Ham,0,But I'm on a diet. And I ate 1 too many slices of pizza yesterday. Ugh I'm ALWAYS on a diet.,Ham,0,No
